Полтавской,Екатеринославской,Уфимской,Подольской,Пермской,Самарской,Воронежской,Киевской,Симбирской,Гродненской,Харьковской,Душ мужского,Душ женского,Всего до 1901 г. Семей,Всего до 1901 г. мужского,Всего до 1901 г. женского,На домоустройство Семей,На домоустройство Сумма р.,На домоустройство Сумма к.,На продовольствие Семей,На продовольствие Сумма р.,На продовольствие Сумма к.,На посев Семей,На посев Сумма р.,На посев Сумма к.,Зачислено за ходоками,Свободных долей
—,—,—,—,—,—,—,—,—,—,—,153,150,442,1353,1281,297,6636,45,—,—,—,—,—,—,158,2134
—,—,—,—,—,—,—,—,—,—,—,78,80,603,1927,1746,128,2829,—,—,—,—,—,—,—,1014,281
—,—,—,—,—,—,—,—,—,—,—,41,37,18,48,49,27,460,—,—,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,272,267,1063,3328,3076,452,9925,45,—,—,—,—,—,—,1172,2415
—,—,—,—,—,—,—,—,—,—,—,131,123,531,1712,1554,65,1592,75,—,—,—,—,—,—,147,186
—,—,—,—,—,—,—,—,—,—,—,378,358,191,727,664,39,2178,75,—,—,—,—,—,—,—,—
8,—,—,—,—,—,—,—,—,—,—,103,81,640,2388,2102,67,2069,—,—,—,—,—,—,—,700,176
4,—,—,1,—,—,—,—,—,—,—,38,48,112,325,302,12,479,25,—,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,65,62,122,469,436,39,982,—,—,—,—,1,5,—,76,32
12,—,—,1,—,—,—,—,—,—,—,715,672,1596,5621,5058,222,7301,75,—,—,—,1,5,—,923,394
40,—,—,1,1,—,1,1,2,—,—,821,715,644,2387,2087,287,21281,50,—,—,—,—,—,—,282,143
—,—,1,—,3,—,—,1,—,—,—,195,163,67,246,210,43,2461,—,—,—,—,—,—,—,—,—
—,—,—,—,—,1,—,—,—,—,—,147,132,376,1313,1004,74,3296,40,—,—,—,—,—,—,—,—
—,—,—,—,—,—,33,—,—,—,—,135,123,95,337,323,18,1146,—,—,—,—,—,—,—,—,—
40,—,1,—,4,1,1,35,2,—,—,1298,1133,1182,4283,3624,422,28184,90,—,—,—,—,—,—,282,143
—,—,—,—,—,—,—,—,2,3,—,60,55,130,459,403,53,1460,—,—,—,—,13,130,—,248,100
—,—,—,—,—,—,—,—,—,—,3,122,96,279,917,837,55,1650,—,—,—,—,35,360,—,423,—
—,—,—,—,—,—,—,—,—,1,—,102,76,109,398,353,28,947,—,—,—,—,16,160,—,501,49
—,—,—,—,—,—,—,—,—,—,—,47,41,18,62,57,9,160,—,—,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,2,4,3,331,268,536,1836,1650,145,4217,—,—,—,—,64,650,—,1172,149
52,—,1,1,4,1,1,35,4,4,3,2616,2340,4377,15068,13408,1241,49629,10,—,—,—,65,655,—,3549,3101
