НАЗВАНИЕ УЧАСТКА и волостей,На какое число душ м. п. участок образован,До 1900 г. Семей,До 1900 г. Душ Мужского,До 1900 г. Душ Женского,Прибывших Всего,Прибывших С разрешения,Прибывших Самовольно,Виленской,Витебской,Могилевской,Черниговской,Воронежской,Киевской,Минской,Гродненской,Харьковской,Курской,Орловской
По 1-му участку волости:,,,,,,,,,,,,,,,,,,
Заледеевская,505,10,38,24,6,6,-,2,-,-,-,-,-,1,2,-,-,-
Погорельская,881,105,304,286,33,31,2,2,1,2,2,-,1,5,12,3,-,-
Итого,-,115,342,310,39,37,2,4,1,2,2,-,1,6,14,3,-,-
По 2-му участку волости:,,,,,,,,,,,,,,,,,,
Вознесенская,2601,153,522,428,110,107,3,18,46,17,-,2,-,4,9,1,5,1
В селениях крестьян-старожилов,-,-,-,-,25,25,-,-,-,-,6,-,3,-,-,5,-,2
Итого,-,153,522,428,135,132,3,18,46,17,6,2,3,4,9,6,5,3
По 3-му участку волости:,,,,,,,,,,,,,,,,,,
Сухобузимская,222,6,25,17,6,6,-,1,5,-,-,-,-,-,-,-,-,-
По 4-му участку волости:,,,,,,,,,,,,,,,,,,
Еловская,1124,184,613,529,81,60,21,11,6,2,-,-,-,11,50,-,-,-
Нахвальская,292,-,-,-,34,34,-,-,-,34,-,-,-,-,-,-,-,-
В обществах крестьян-старожилов,-,-,-,-,5,5,-,1,1,1,-,-,-,-,-,-,-,-
Итого,-,184,613,529,120,99,21,12,7,37,-,-,-,11,50,-,-,-
Всего по уезду,-,458,1502,1284,300,274,26,35,59,56,8,2,4,21,73,9,5,3
