Тульской,Полтавской,Тамбовской,Волынской,Саратовской,Псковской,Смоленской,Енисейской,Душ Мужского,Душ Женского,Всего до 1901 г. Семей,Всего до 1901 г. Мужского,Всего до 1901 г. Женского,На домоустройство Семей,На домоустройство Сумма р.,На домоустройство Сумма к.,На продовольствие Семей,На продовольствие Сумма р.,На продовольствие Сумма к.,На посев Семей,На посев Сумма р.,На посев Сумма к.,Зачислено за ходоками,Свободных долей
—,—,—,—,—,1,—,—,15,10,16,53,3,7,175,—,—,—,—,—,—,—,361,91
—,—,—,—,—,—,5,—,136,113,138,440,399,56,2385,—,—,—,—,—,—,—,363,78
—,—,—,—,—,1,5,—,151,123,154,493,433,63,2560,—,—,—,—,—,—,—,724,169
3,4,—,—,—,—,—,—,175,135,263,697,563,172,6929,88,—,—,—,—,—,—,1341,299
—,—,8,—,—,—,—,1,80,82,25,80,82,19,920,—,—,—,—,—,—,—,—,—
3,4,8,—,—,—,—,1,255,217,288,777,645,191,7849,88,—,—,—,—,—,—,1341,299
—,—,—,—,—,—,—,—,30,33,12,55,50,12,243,60,1,8,—,—,—,—,167,—
—,—,—,1,—,—,—,—,233,177,265,846,706,142,4304,—,—,—,—,—,—,—,306,—
—,—,—,—,1,—,—,—,97,92,34,97,92,47,2075,—,—,—,—,132,1604,—,195,—
—,1,—,—,1,—,—,—,23,22,5,23,22,1,30,—,—,—,—,—,—,—,—,—
—,1,—,1,1,—,—,—,353,291,304,966,820,190,6409,—,—,—,—,132,1604,—,501,—
3,5,8,1,1,1,5,1,789,664,758,2291,1948,456,17062,148,1,8,—,132,1604,—,2733,648
