НАЗВАНИЕ УЧАСТКА и волостей,На какое число душ м. п. участок образован,До 1900 г. Семей,До 1900 г. Душ Мужского,До 1900 г. Душ Женского,Прибывших Всего,Прибывших С разрешения,Прибывших Самовольно,Виленской,Витебской,Воронежской,Гродненской,Киевской,Курляндской,Лифляндской,Минской,Орловской,Пензенской,Полтавской,Псковской,Симбирской,Смоленской
По 1-му участку волости:,,,,,,,,,,,,,,,,,,,,
Рыбинская волость,11967,1928,6696,6539,391,336,55,4,5,15,7,12,6,31,2,71,53,15,1,8,29
По 2-му участку волости:,,,,,,,,,,,,,,,,,,,,
Ирбейская,5490,575,1861,1690,165,165,-,23,34,2,2,4,-,-,2,4,-,3,-,-,-
Уринская,2870,335,1009,827,84,84,-,-,4,-,10,-,-,-,14,-,-,1,-,-,-
Амонашевская,2629,658,1919,1789,47,47,-,-,3,-,-,7,-,-,5,3,7,16,-,-,-
Итого,-,1568,4789,4306,296,296,-,23,41,2,12,11,-,-,21,7,7,20,-,-,-
По 3-му участку:,,,,,,,,,,,,,,,,,,,,
Анцирская,1597,143,516,497,87,87,-,2,8,-,7,-,-,-,5,5,-,-,2,19,1
Тинская,4802,60,193,181,145,145,-,6,-,1,13,-,-,8,25,4,-,-,2,1,-
Итого,-,203,709,678,232,232,-,8,8,1,20,-,-,8,30,9,-,-,4,20,1
По 4-му участку:,,,,,,,,,,,,,,,,,,,,
Устьянская,9776,404,1583,1371,387,387,-,21,46,1,41,7,-,29,132,1,-,-,-,1,1
В селениях крестьян-старожилов,-,-,-,-,3,3,-,-,-,-,2,-,-,-,-,-,-,-,1,-,-
Итого,-,404,1583,1371,390,390,-,21,46,1,43,7,-,29,132,1,-,-,1,1,1
По 5-му участку волости:,,,,,,,,,,,,,,,,,,,,
Тасеевская,2482,49,201,170,17,16,1,-,11,-,2,2,-,-,-,-,-,-,-,-,-
Рождественская,854,36,136,109,41,40,1,17,1,-,19,-,-,-,2,-,-,-,-,-,-
Итого,-,85,337,279,58,56,2,17,12,-,21,2,-,-,2,-,-,-,-,-,-
Всего по уезду,-,4188,14114,13173,1367,1310,57,73,112,19,103,32,6,68,187,88,60,35,6,29,31
