Тамбовской,Тульской,Киевской,Черниговской,Могилевской,Харьковской,Пермской,Енисейской,Курской,Волынской,Екатеринославской,Саратовской,Душ Мужского,Душ Женского,Всего до 1901 г. Семей,Всего до 1901 г. Мужского,Всего до 1901 г. Женского,На домоустройство Семей,На домоустройство Сумма р.,На домоустройство Сумма к.,На продовольствие Семей,На продовольствие Сумма р.,На продовольствие Сумма к.,На посев Семей,На посев Сумма р.,На посев Сумма к.,Зачислено за ходоками,Свободных долей
15,23,59,7,28,-,-,-,-,-,-,-,1425,1312,2319,8121,7851,868,40555,-,940,13806,30,-,-,-,3426,420
5,12,-,-,74,-,-,-,-,-,-,-,571,434,740,2432,2124,434,18680,40,-,-,-,-,-,-,2816,-
1,-,-,-,54,-,-,-,-,-,-,-,296,226,419,1305,1053,322,11844,95,-,-,-,-,-,-,1561,-
-,-,-,1,1,4,-,-,-,-,-,-,187,169,705,2106,1958,285,9799,70,-,-,-,-,-,-,388,122
6,12,-,1,129,4,-,-,-,-,-,-,1054,829,1864,5843,5135,1041,40275,5,-,-,-,-,-,-,4765,122
-,8,-,-,23,-,-,7,-,-,-,-,350,320,230,866,817,201,9080,35,-,-,-,97,964,85,606,95
-,-,-,56,23,-,-,4,-,2,-,-,645,566,205,838,747,218,10092,60,-,-,-,36,361,5,1703,659
-,8,-,56,46,-,-,11,-,2,-,-,995,886,435,1704,1564,419,19172,95,-,-,-,133,1325,90,2309,754
2,5,5,-,92,-,-,-,-,3,-,-,1732,1396,791,3315,2767,814,28577,58,2,40,-,261,2531,30,5096,1471
-,-,-,-,-,-,-,-,-,-,-,-,15,6,3,15,6,-,-,-,-,-,-,-,-,-,-,-
2,5,5,-,92,-,-,-,-,3,-,-,1747,1402,794,3330,2773,814,28577,58,-,-,-,261,2531,30,5096,1471
-,-,-,-,-,-,-,-,-,-,2,-,56,52,66,257,222,41,855,-,-,-,-,43,901,-,941,-
-,-,-,-,-,-,-,-,-,-,-,2,157,165,77,293,274,64,1424,-,-,-,-,63,1138,50,553,-
-,-,-,-,-,-,-,-,-,-,2,2,213,217,143,550,496,105,2279,-,-,-,-,106,2039,50,1494,-
23,48,64,64,295,4,-,11,11,3,2,2,5434,4646,5555,19548,17819,3247,130859,59,942,13846,30,500,5896,70,17090,2767
