В ОКРУГАХ,Зимою р. к.,Весною р. к.,Летом р. к.,Осенью р. к.
Красноярском:,,,,
Муки ржаной,-41,-37 1/2,-46,-54 1/2
пшеничной,-70,-58 1/2,-65 1/2,-79
Овса,-27 1/4,-25 1/2,-39 1/2,-40
Енисейском:,,,,
Муки ржаной,-50,-60,-60,-50
пшеничной,-85,-78,-83,1-
Овса,-37,-33,-43,-40
Канском:,,,,
Муки ржаной,-70,-60,-70,-60
пшеничной,-90,-80,-90,-95
Овса,-60,-70,-55,-50
Ачинском:,,,,
Муки ржаной,-35 3/4,-31,-40 1/4,-44 1/2
пшеничной,-60,-50 3/4,-59 1/2,-65 1/4
Овса,-21,-18 1/4,-34 1/4,-34
Минусинском:,,,,
Муки ржаной,-35,-30,-32,-37
пшеничной,-50,-45,-50,-50
Овса,-28,-23,-27,-36
Усинском пограничном:,,,,
Муки ржаной,Продажи не производились,,,
пшеничной,Продажи не производились,,,
Овса,Продажи не производились,,,
