НАЗВАНИЕ УЧАСТКА и волостей,На какое число душ м. п. участок образован,До 1900 г. Семей,До 1900 г. Душ Мужского,До 1900 г. Душ Женского,Прибывших Всего,Прибывших С разрешения,Прибывших Самовольно,Витебской,Могилевской,Гродненской,Минской,Полтавской,Киевской,Черниговской,Екатеринославской,Херсонской,Курской,Орловской,Пензенской,Тамбовской,Саратовской,Самарской
По 1-му участку волости:,,,,,,,,,,,,,,,,,,,,,
Новоселовская волость,1096,29,26,11,69,69,-,17,22,4,1,-,-,3,-,-,19,-,-,2,-,-
В селениях крестьян-старожилов,-,-,-,-,5,5,-,4,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Итого,-,29,26,11,74,74,-,21,22,4,1,-,-,3,-,-,20,-,-,2,-,-
По 2-му участку волости:,,,,,,,,,,,,,,,,,,,,,
Абаканская,5093,372,1309,1076,231,225,6,121,12,13,17,16,6,9,4,-,15,3,-,3,7,-
Идринская,2830,726,2040,1878,78,60,18,-,16,-,1,16,1,-,-,3,-,1,13,1,1,4
В селениях крестьян-старожилов,-,-,-,-,12,12,-,-,-,-,-,7,-,-,-,3,-,-,-,-,-,-
Итого,-,1098,3349,2954,321,297,24,121,28,13,18,39,7,9,4,6,15,4,13,4,8,4
По 3-му участку:,,,,,,,,,,,,,,,,,,,,,
Тесинская,1424,344,1134,999,32,30,2,-,5,-,-,3,-,1,-,11,7,1,-,1,1,-
Курагинская,1598,420,1186,1116,31,31,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
Итого,-,764,2320,2115,63,61,2,-,5,-,-,3,-,1,-,11,7,1,-,1,3,-
По 4-му участку волости:,,,,,,,,,,,,,,,,,,,,,
Ермаковская,1260,289,959,732,11,11,-,-,3,-,-,-,1,-,-,-,-,1,-,-,-,-
Сагайская,1218,326,785,736,11,8,3,-,5,-,-,1,1,-,-,1,-,-,-,-,-,-
В селениях крестьян-старожилов,-,-,-,-,21,20,1,2,-,-,-,-,9,1,-,1,-,7,-,1,-,-
Итого,-,615,1744,1468,43,39,4,2,8,-,-,1,11,1,-,1,-,8,-,1,-,-
По 5-му участку волости:,,,,,,,,,,,,,,,,,,,,,
Бейская,59,22,59,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
В селениях крестьян-старожилов,-,42,115,100,2,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-
В селениях крестьян-старожилов Шушенской волости,-,216,695,677,61,54,7,5,2,2,-,5,-,10,-,-,4,7,-,8,-,5
Итого,-,280,869,828,63,54,9,5,2,2,-,5,-,10,-,-,4,7,-,9,-,5
Всего по уезду,-,2786,8308,7376,564,525,39,149,65,19,19,48,18,24,4,18,46,20,13,17,11,9
Всего по Енисейской губернии,-,11125,36376,32901,2915,2756,159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
