Наименование фабрик и заводов,Город Красноярск Число,Город Красноярск Сумма,Город Красноярск Рабочих,Уезд Красноярский Число,Уезд Красноярский Сумма,Уезд Красноярский Рабочих,Город Енисейск Число,Город Енисейск Сумма,Город Енисейск Рабочих,Уезд Енисейский Число,Уезд Енисейский Сумма,Уезд Енисейский Рабочих,Город Канск Число,Город Канск Сумма,Город Канск Рабочих
I. Обделывающие животные продукты: Салотопенные свечные и мыловаренные,6,16910,14,-,-,-,-,-,-,-,-,-,2,1600,8
Кожевенные,7,29600,41,5,278,9,4,19750,26,2,1200,2,6,10000,20
Воскобелильные,-,-,-,-,-,-,1,2320,7,-,-,-,-,-,-
II. Обделывающие растительные продукты: Крупчаточные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Маслобойные,-,-,-,-,-,-,2,1700,9,1,15,1,-,-,-
Канаточные и веревочные,-,-,-,-,-,-,1,450,3,-,-,-,-,-,-
Винокуренные,-,-,-,1,285243,50,1,44728,27,1,52169,23,-,-,-
Водочные заводы,2,80000,-,-,-,-,1,11000,3,-,-,-,-,-,-
Пиво-медоваренные и квасоваренные,2,62000,-,-,-,-,-,-,-,-,-,-,-,-,-
Лесопильные,3,5000,-,-,-,-,-,-,-,-,-,-,-,-,-
III. Обделывающие ископаемые продукты: Чугунолитейные железоделательные и слесарные,1,199000,-,-,-,-,-,-,-,-,-,-,-,-,-
Лесопильные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Стеклоделательные,-,-,-,1,83200,110,-,-,-,-,-,-,-,-,-
Фаянсовые,-,-,-,1,1000,10,-,-,-,-,-,-,-,-,-
Колокольные,1,900,2,-,-,-,-,-,-,-,-,-,-,-,-
Кирпичные,14,неизвест.,95,-,-,-,9,4250,21,1,15,1,10,1200,30
Гончарные,-,-,-,-,-,-,-,-,-,29,900,52,2,200,4
Солеваренные,-,-,-,-,-,-,-,-,-,20,13000,20,-,-,-
Смольные и скипидарные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IV. Смешанных продуктов: Экипажные и кузнечные,22,19000,68,-,-,-,-,-,-,-,-,-,-,-,-
Итого,58,412410,220,8,369721,179,19,84198,96,35,67299,99,20,13000,62
