Уезд Канский Число,Уезд Канский Сумма,Уезд Канский Рабочих,Город Ачинск Число,Город Ачинск Сумма,Город Ачинск Рабочих,Уезд Ачинский Число,Уезд Ачинский Сумма,Уезд Ачинский Рабочих,Город Минусинск Число,Город Минусинск Сумма,Город Минусинск Рабочих,Уезд Минусинский Число,Уезд Минусинский Сумма,Уезд Минусинский Рабочих,Всего в губернии Число,Всего в губернии Сумма,Всего в губернии Рабочих
-,-,-,1,1250,2,1,1290,3,6,45000,14,8,1593,10,24,67643,51
9,1622,10,4,15000,15,34,25207,52,8,25000,90,107,29065,170,186,157022,435
-,-,-,-,-,-,-,-,-,1,500,2,-,-,-,2,2820,9
-,-,-,-,-,-,-,-,-,-,-,-,3,42624,20,3,42624,20
5,838,6,1,300,1,27,5119,12,4,2000,6,99,6947,141,139,16919,176
-,-,-,6,1550,10,6,5940,14,1,250,2,13,1600,24,27,9790,53
1,42666,20,-,-,-,2,514064,58,-,-,-,3,703900,91,9,1642770,269
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,91000,3
-,-,-,1,10000,3,-,-,-,1,20000,6,-,-,-,4,92000,9
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,5000,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,199000,-
-,-,-,-,-,-,-,-,-,-,-,-,1,52568,295,1,52568,295
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,83200,110
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1000,10
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,900,2
8,1370,13,29,6050,84,16,3130,28,15,10000,40,9,1950,20,111,27965,332
4,1335,6,3,300,3,4,480,4,10,1000,10,22,2680,23,74,6895,102
1,35000,40,-,-,-,-,-,-,-,-,-,4,55389,80,6,103389,140
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,37,30000,82,95,7520,106,154,56520,256
28,82831,95,45,34750,118,90,555230,171,83,133750,252,364,906036,980,750,2659225,2272
