Города и уезды,Законнорожденных муж.,Законнорожденных жен.,Законнорожденных обоего пола
В г. Красноярске,626,650,1276
В г. Енисейске,178,156,334
В г. Канске,159,172,331
В г. Ачинске,114,98,212
В г. Минусинске,222,207,429
В г. Туруханске,22,32,54
Итого в городах,1321,1315,2636
В Красноярском округе,1707,1645,3352
В Енисейском округе,1309,1156,2465
В Канском округе,3043,2947,5990
В Ачинском округе,3264,3073,6337
В Минусинском округе,5129,5060,10189
В Туруханском крае,83,85,168
В Усинском пограничном округе,46,34,80
Итого в округах,14581,14000,28581
Всего в губернии,15902,15315,31217
