Незаконнорожденных муж.,Незаконнорожденных жен.,Незаконнорожденных обоего пола,Всего муж.,Всего жен.,Всего обоего пола,Число умерших муж.,Число умерших жен.,Число умерших обоего пола,Прибыль + или убыль -,Число браков
80,80,160,706,730,1436,775,601,1376,+60,248
46,41,87,224,197,421,221,143,364,+57,79
12,9,21,171,181,352,243,136,379,-27,42
10,10,20,124,108,232,80,67,147,+85,35
18,24,42,240,231,471,235,175,410,+61,65
2,4,6,24,36,60,11,4,15,+45,19
168,168,336,1489,1489,2972,1565,1126,2691,+281,488
125,113,238,1832,1758,3590,1615,1331,2946,+644,546
114,126,240,1423,1282,2705,1118,954,2072,+633,412
191,209,400,3234,3156,6390,2259,2026,4285,+2105,1051
202,202,404,3466,3275,6741,2891,2644,5535,+1206,1070
852,793,1645,5981,5853,11834,4288,4134,8422,+3412,1380
9,7,16,92,92,184,51,31,82,+102,51
—,2,2,46,36,82,27,23,50,+32,8
1493,1452,2945,16074,15452,31526,12249,11143,23392,+8134,4518
1661,1620,3281,17563,16935,34498,13814,12269,26083,+8415,5006
