Поступило Недоимок,Поступило Оклада,Зачтено Недоимок,Зачтено Оклада,Исключено Недоимок,Исключено Оклада,ВСЕГО,Будущих лет Недоимок,Будущих лет Оклада,Осталось ВСЕГО,В том числе Отсроченных,В том числе Срочных,Всего по казначействам за другие,Примечания
1688-71,-,-,-,-,-,1688-71,-,-,18228-29,5640-23 3/4,12588-5 1/4,-,-
-,-,-,-,-,-,-,-,-,3-73,-,3-73,-,-
-,-,-,-,-,-,-,-,-,45-76 1/2,28-35 1/2,17-41,-,-
-,-,-,-,-,-,-,-,-,17-97,-,17-97,-,-
6-21,-,-,-,-,-,6-21,-,-,76-56,-,76-56,-,-
-,-,-,-,-,-,-,-,-,24-53,-,24-53,-,-
1694-92,-,-,-,-,-,1694-92,-,-,18396-84 1/2,5668-59 1/4,12728-25 1/4,-,-
12-32,-,-,-,-,-,12-32,-,-,70-41 1/2,-,70-41 1/2,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-
"-46,-,-,-,-,-,"-46,-,-,1-87 1/2,-,1-87 1/2,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-
2-6,-,-,-,-,-,2-6,-,-,12-86 1/2,-,12-86 1/2,-,-
-,-,-,-,-,-,-,-,-,3-26,-,3-26,-,-
14-84,-,-,-,-,-,14-84,-,-,88-41 1/2,-,88-41 1/2,-,-
1216-66,1127-18,-,-,-,-,2343-84,-,-,4377-2,1309-82,3067-20,-,-
4417-74,-,-,-,-,-,4417-74,-,-,38323-37 1/4,6260-47 1/2,32062-89 3/4,-,-
-,-,-,-,-,-,-,-,-,12-33,-,12-33,-,-
11-22,-,-,-,-,-,11-22,-,-,177-84 1/2,-,177-84 1/2,-,-
5645-62,1127-18,-,-,-,-,6772-80,-,-,42890-56 3/4,7570-29 1/2,35320-27 1/4,-,-
