Поступило Недоимок,Поступило Оклада,Зачтено Недоимок,Зачтено Оклада,Исключено Недоимок,Исключено Оклада,ВСЕГО,Будущих лет Недоимок,Будущих лет Оклада,Осталось ВСЕГО,Осталось Отсроченных,Осталось Срочных,Всего по казначействам за другие,Примечания
47493-34,286223-13,-,695-97,-,-,334410-44,-,433-69,67033-61,-,67033-61,-,-
2-92,28-78,-,-,-,-,31-70,-,9-40,161-55,-,161-55,-,-
402-84 1/2,1176-22 1/2,-,-,-,-,1579-7,-,-,1094-36,-,1094-36,-,-
47899-10 1/2,287428-13 1/2,-,695-97,-,-,336021-21,-,433-69,68289-52,-,68289-52,-,-
5131-22,9677-23,-,647-",-,-,15455-45,-,52-31,35943-27 1/2,-,35943-27 1/2,-,-
2271-66 1/2,7159-86 1/2,-,2-16,-,-,9433-69,-,117-97,6970-41 3/4,-,6970-41 3/4,-,-
7402-88 1/2,16837-9 1/2,-,649-16,-,-,24889-14,-,170-28,42913-69 1/4,-,42913-69 1/4,-,-
467-83,645-79,-,-,-,-,1113-62,-,60-30,715-87,-,715-87,-,-
63125-20,306036-20,-,1345-13,-,-,370506-53,-,673-67,173294-91,13238-88 3/4,160056-2 1/4,-,-
2659-53,16620-61,-,-,-,-,19280-14,-,-,1394-48,-,1394-48,-,-
547-64 1/2,31639-18 1/2,-,139-24 1/4,-,-,32326-8,-,120-23 1/4,4476-17 1/4,-,4476-17 1/4,-,-
975-61 1/2,305-",-,43-4 1/2,-,-,1323-66,-,-,17023-80 3/4,-,17023-80 3/4,-,-
1169-31 1/2,5585-89,-,12-62,-,-,6767-82 1/2,-,46-15,9130-33 1/2,-,9130-33 1/2,-,-
183-99 1/2,7631-76 1/4,-,"-4 1/2,-,-,7815-80 1/2,-,76-67,5615-10 3/4,-,5615-10 3/4,-,-
1-50,67-",-,"-17 3/4,-,-,68-67 3/4,-,-,78-32 1/4,-,78-32 1/4,-,-
80-94 1/2,3-",-,-,-,-,83-94 1/2,-,-,412-77,-,412-77,-,-
-,1019-84,-,-,-,-,1019-84,-,-,1890-61,-,1890-61,-,-
1-",-,-,-,-,-,1-",-,-,64-94 1/4,-,64-94 1/4,-,-
3162-26 1/4,2354-96,-,89-26,-,-,5606-48 3/4,-,14-93 1/4,16663-84 1/4,-,16663-84 1/4,-,-
