Наименование преступлений,Число преступлений и дел,Число осужденных м.,Число осужденных ж.,Дворян потомственных м.,Дворян потомственных ж.,Дворян личных м.,Дворян личных ж.,Почетных граждан и купцов м.,Почетных граждан и купцов ж.,Духовного звания м.,Духовного звания ж.,Мещан м.,Мещан ж.,Крестьян м.,Крестьян ж.
О преступлениях против веры и постановлений церкви 176—218 ст.,13,10,-,-,-,-,-,-,-,-,-,-,-,5,-
О святотатстве 219—235,10,10,-,-,-,-,-,-,-,-,-,-,-,2,-
О сопротивлении распоряжениям правительства и неповиновении установленным от оного властям 262—275,12,16,1,-,-,-,-,1,-,-,-,1,1,7,-
Об оскорблении и явном неуважении к присутственным местам и чиновникам при отправлении должности 276—288,65,57,3,1,-,-,-,1,-,-,-,18,2,28,1
О самовольном присвоении власти и составлении подложных указов или предписаний и др. исходящих от правительства бумаг 289—302,17,17,1,-,-,-,-,-,-,-,-,-,1,7,-
О похищении бумаг или вещей из присутственных мест сорвании печатей и уничтожении поставленных или приложенных по распоряжению правительства знаков 303—307,4,7,-,-,-,-,-,-,-,-,-,-,-,3,-
О взломе тюрем уводе и убеге находящихся под стражею или надзором 308—317,6,4,-,-,-,-,-,-,-,-,-,-,-,1,-
О преступлениях по службе государственной и общественной 329—505,68,72,1,-,-,6,-,-,-,-,-,7,-,51,1
Об уклонении от воинской повинности 506—547,47,46,-,1,-,-,-,-,-,-,-,6,-,36,-
О нарушении уставов монетных 556—578,13,11,-,-,-,-,-,-,-,-,-,1,-,3,-
О нарушении постановлений о гербовом сборе 579—591,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
О нарушении уставов горных 591—622,3,3,-,-,-,-,-,-,-,-,-,-,-,3,-
О нарушении постановлений о питейном сборе табачном сборе об акцизе на сахар нефтяном масле и спичек 665 ст.,180,95,60,1,-,-,-,4,-,-,-,21,9,57,39
О нарушении уставов врачебных 875—900,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
