Наименование преступлений,Число преступлений и дел,Число осужденных м,Число осужденных ж,Дворян потомственных м,Дворян потомственных ж,Дворян личных м,Дворян личных ж,Почетных граждан и купцов м,Почетных граждан и купцов ж,Духовного звания м,Духовного звания ж,Мещан м,Мещан ж,Крестьян м,Крестьян ж
О возбуждении к начатию или продолжению противозаконных исков и тяжб о ложных доносах лжесвидетельствах и ложных показаниях на повальных обысках 939—946,6,5,2,-,-,-,-,-,-,-,-,-,-,4,2
О бродяжничестве 950—974,33,29,1,-,-,-,-,1,-,-,-,-,-,4,1
О составлении подложных видов на жительство и проживании с видом подложным 975—977,11,10,1,-,-,-,-,-,-,-,-,1,-,8,1
О преступлениях против общественной нравственности и нарушении ограждающих оную постановлений 993—1003,12,11,3,1,-,-,-,1,-,-,-,3,2,5,6
О нарушении постановлений ремесленных 1360—1377,3,5,-,-,-,-,-,-,-,-,-,-,-,5,-
О нарушении уставов торговых 1169—1345,7,5,2,-,-,-,-,-,-,-,-,2,1,3,1
О преступлениях и проступках против законов о состояниях 1412—1424,4,2,2,-,-,-,-,-,-,-,-,1,-,-,2
О смертоубийстве 1449—1471,59,51,10,-,-,-,1,-,-,-,-,6,1,18,5
О самоубийстве 1472—1476,3,3,1,-,-,-,-,-,-,-,-,1,-,2,1
О нанесении увечья ран и др. повреждений здоровью 1477—1496,114,91,5,-,-,-,-,-,-,-,-,12,1,48,3
О преступлениях против чести и целомудрия женщин 1523—1532,6,6,-,-,-,-,-,-,-,-,-,-,-,5,-
О непосредственных личных оскорблениях 1533—1534,1,2,-,-,-,-,-,-,-,-,-,-,-,2,-
О клевете и распространении оскорбительных для чести сочинений оскорбления или слухов 1535—1539,5,5,-,-,-,-,-,-,1,-,-,2,-,2,-
Об угрозах 1549—1589,9,7,5,-,-,-,-,-,-,-,-,3,3,4,2
О преступлениях детей против родителей и по другим совестным делам 1591—1592,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-
О зажигательстве 1606—1615,10,4,-,-,-,-,-,-,-,-,-,-,-,2,-
О разбое 1627—1636,8,5,-,-,-,-,-,-,-,-,-,-,-,2,-
О грабеже 1637—1643,42,39,-,-,-,-,-,-,-,-,-,2,-,8,-
О краже 1644—1664,265,280,23,-,-,-,-,-,-,-,-,16,3,58,13
О мошенничестве 1665—1676,9,4,-,-,-,-,-,-,-,-,-,-,-,4,-
О присвоении и утайке чужой собственности 1677—1685,4,4,-,-,-,-,-,-,-,-,-,-,-,3,-
