Водворяемых рабочих м.,Водворяемых рабочих ж.,Военных м.,Военных ж.,Инородцев м.,Инородцев ж.,Иностранных подданных м.,Иностранных подданных ж.,Поселенцев м.,Поселенцев ж.,Ссыльно-каторжных м.,Ссыльно-каторжных ж.,Ниже 17 лет м.,Ниже 17 лет ж.,17-20 м.,17-20 ж.,21-30 м.,21-30 ж.,31-40 м.,31-40 ж.,41-50 м.,41-50 ж.,51-60 м.,51-60 ж.,Свыше 60 лет м.,Свыше 60 лет ж.
-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,3,1,1,1,1,-,-,-
3,-,-,-,-,-,3,-,18,-,-,-,-,-,-,-,6,1,13,-,7,-,3,-,-,-
-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,2,-,3,-,4,1,-,-,-,-
-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,2,6,6,2,-,1,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,1,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,1,-,1,1,-,-,1,-
-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,1,-,1,-,-,-,-,-,-,-
-,-,-,-,1,2,-,-,25,2,-,-,-,-,2,2,20,2,16,3,8,3,2,-,3,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,1,-,-,-,-
-,-,1,-,-,-,-,-,30,1,-,-,1,-,8,1,35,1,25,2,12,1,4,-,6,-
-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,2,-,1,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,1,-,1,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,5,5,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,1,-,1,-,2,-,-,-,-,-
-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,1,-,4,-,-,-,-,-,-,-
-,-,1,-,-,-,-,-,28,-,-,-,-,-,2,-,19,-,12,-,5,-,1,-,-,-
1,-,4,-,1,1,-,-,199,6,1,-,1,-,15,2,93,11,94,3,53,3,19,4,5,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,-,1,-,-,-,1,-,-,-
