Города и уезды,В зимние месяцы Число пожаров,В зимние месяцы Число погоревших дворов,В зимние месяцы Сумма убытков,В весенние месяцы Число пожаров,В весенние месяцы Число погоревших дворов,В весенние месяцы Сумма убытков
В г. Красноярске,16,1,2440,5,-,2615
уезде его,34,30,2461,10,37,15896
г. Енисейске,5,-,25,-,-,-
уезде его,42,19,591,8,3,1010
г. Канске,1,1,100,1,1,120
уезде его,17,11,2498,31,37,12540-25
г. Ачинске,3,3,195,3,10,2855
уезде его,20,20,1374,43,95,19588
г. Минусинске,-,-,-,-,-,-
уезде его,64,64,1048,37,40,3812
Усинском пограничном округе,-,-,-,-,-,-
Туруханском крае,-,-,-,-,-,-
Итого,202,149,10732,138,223,58436-25
