В летние месяцы Число пожаров,В летние месяцы Число погоревших дворов,В летние месяцы Сумма убытков,В осенние месяцы Число пожаров,В осенние месяцы Число погоревших дворов,В осенние месяцы Сумма убытков,Всего в год Число пожаров,Всего в год Число погоревших дворов,Всего в год Сумма убытков,От дурного устройства печей и труб,От неосторожности,От поджога,От других причин
7,1,2420,7,-,875,35,2,8350,10,19,6,-
11,8,444,16,10,1111,71,85,19912,8,16,8,39
-,-,-,2,-,15,7,-,40,-,6,1,-
10,3,260,13,3,297,73,28,2158,3,29,2,39
1,3,6000,1,1,1200,4,6,47420,-,-,-,4
15,22,5392,19,14,3877,82,84,24307-25,2,13,27,40
2,2,150,-,-,-,8,15,3200,2,3,3,-
13,13,1405,15,29,5253,91,157,27620,8,37,6,40
-,-,-,1,1,100,1,1,100,-,-,1,-
15,15,5093,22,25,4803,138,144,14756,1,108,3,26
-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-
74,67,21164,96,83,17531,510,522,107863-25,34,231,57,188
