Города и уезды,Детоубийство новорожденных,Смертоубийство,Итого случаев,Жертвы детоубийство м.,Жертвы детоубийство ж.,Жертвы смертоубийство м.,Жертвы смертоубийство ж.,Жертвы Итого м.,Жертвы Итого ж.,Самоубийство м.,Самоубийство ж.,Скоропостижно от болезни м.,Скоропостижно от болезни ж.,Скоропостижно от пьянства м.,Скоропостижно от пьянства ж.,Скоропостижно от неизвестных причин м.,Скоропостижно от неизвестных причин ж.,Скоропостижно Итого м.,Скоропостижно Итого ж.
В г. Красноярске,3,12,15,-,3,8,4,8,7,16,1,-,-,-,-,2,-,2,-
уезде оного,-,8,-,-,-,6,2,6,2,4,1,-,-,1,-,8,1,9,1
г. Енисейске,-,4,4,-,-,4,-,4,-,2,-,-,-,3,-,-,-,3,-
уезде оного,2,9,11,2,-,6,3,8,3,4,-,5,-,4,-,9,-,18,-
г. Канске,-,9,9,-,-,7,2,7,2,-,-,-,-,3,-,6,-,9,-
уезде оного,-,42,42,-,-,40,2,40,2,8,2,-,-,3,-,-,-,3,-
г. Ачинске,-,1,1,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-
уезде оного,-,12,12,-,-,9,3,9,3,5,2,6,1,2,-,12,1,20,2
г. Минусинске,-,5,5,-,-,4,1,4,1,1,-,-,1,2,-,4,-,6,1
уезде оного,-,19,19,-,-,15,4,15,4,12,5,5,5,5,-,8,6,18,11
г. Туруханске и Туруханском крае,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1
Усинском пограничном округе,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
На частных золотых промыслах,-,3,3,-,-,3,-,3,-,5,-,6,2,3,-,9,-,18,2
Итого,5,118,121,2,3,103,21,105,24,58,11,22,9,26,-,59,9,107,18
