Найденные мертвые тела м.,Найденные мертвые тела ж.,Убито градом м.,Убито градом ж.,Задавлено и упало с высоты м.,Задавлено и упало с высоты ж.,Сгорело и убито на пожарах м.,Сгорело и убито на пожарах ж.,Умерло от угара м.,Умерло от угара ж.,Замерзло м.,Замерзло ж.,Утонуло м.,Утонуло ж.,Укушено до смерти зверями м.,Укушено до смерти зверями ж.,Умерло от других случайностей м.,Умерло от других случайностей ж.,Итого м.,Итого ж.,Всего умерло от насильственной смерти и случайностей м.,Всего умерло от насильственной смерти и случайностей ж.
-,-,-,-,1,-,-,-,1,-,1,-,7,1,-,-,30,2,40,3,66,11
5,1,-,-,2,-,-,-,1,-,-,-,6,-,-,-,16,1,25,1,49,6
-,-,-,-,1,-,-,-,-,-,-,-,3,-,-,-,6,-,10,-,19,-
1,1,1,-,1,-,-,-,-,-,-,-,8,1,2,-,8,-,20,1,51,5
2,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,2,-,20,2
3,2,-,-,1,-,7,1,1,-,6,-,11,4,-,-,38,4,64,9,118,15
-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,3,-
10,-,-,-,5,-,1,-,-,-,2,-,7,3,1,-,3,2,19,5,63,12
-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,5,-,16,2
7,3,1,-,11,-,-,-,-,-,3,-,28,2,-,-,25,1,68,3,120,26
-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,2,1,3,2
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,1,-,1,-,-,-,-,1,-,-,-,-,1,-,3,1,29,3
28,7,2,-,23,-,10,1,3,-,13,1,78,11,3,-,127,11,299,24,557,84
