НАЗВАНИЕ УЧЕБНЫХ ЗАВЕДЕНИЙ,Число учебных заведений,Число учащихся муж.,Число учащихся жен.
Мужская классическая гимназия,1,285,—
" шестиклассная прогимназия,—,—,—
Женская гимназия,1,—,426
" прогимназия,—,—,—
Учительская семинария,1,64,—
При ней начальная школа,1,50,—
Духовная семинария,1,81,—
Техническое железнодорожное училище,1,78,—
Городские 3-классные училища,1,164,—
" 2-классные,—,—,—
Одноклассные приходские городские училища,9,398,87
Начальные 2-классные,1,129,49
" одноклассные приходские сельские,—,—,—
Духовное училище,1,148,—
Епархиальное женское училище,1,—,102
Начальное женское училище,1,—,50
Владимирский детский приют,1,—,49
Щеголевское ремесленное 2-классное училище,1,65,—
Церковноприходские школы,1,26,7
Школы грамотности,—,—,—
Приют арестантских детей,1,26,7
Александровский дом призрения бедных детей,—,—,—
Училище при сиропитательном доме Щеголевой,1,—,8
Частные школы,1,—,18
Итого,26,1514,803
