Число учебных заведений (В уездных городах),Число учащихся муж. (В уездных городах),Число учащихся жен. (В уездных городах),Число учебных заведений (В уездах),Число учащихся муж. (В уездах),Число учащихся жен. (В уездах),Число учебных заведений (Всего в губернии),Число учащихся муж. (Всего в губернии),Число учащихся жен. (Всего в губернии),Число учащихся обоего пола (Всего в губернии)
—,—,—,—,—,—,1,285,—,285
1,103,—,—,—,—,1,103,—,103
1,—,141,—,—,—,2,—,567,567
2,—,271,—,—,—,2,—,271,271
—,—,—,—,—,—,1,64,—,64
—,—,—,—,—,—,1,50,—,50
—,—,—,—,—,—,1,81,—,81
—,—,—,—,—,—,1,78,—,78
4,638,—,—,—,—,5,802,—,802
1,120,—,2,174,61,3,294,61,355
18,809,389,—,—,—,27,1207,476,1683
—,—,—,3,227,69,4,356,118,474
—,—,—,71,2352,977,71,2352,977,3329
—,—,—,—,—,—,1,148,—,148
—,—,—,—,—,—,1,—,102,102
—,—,—,—,—,—,1,—,50,50
—,—,—,—,—,—,1,—,49,49
—,—,—,—,—,—,1,65,—,65
—,—,—,125,2820,1380,126,2846,1387,4233
—,—,—,53,875,349,53,875,349,1224
—,—,—,—,—,—,1,26,7,33
1,20,—,—,—,—,1,20,—,20
—,—,—,—,—,—,1,—,8,8
1,—,23,—,—,—,2,—,41,41
29,1690,824,254,6448,2836,309,9652,4358,14010
