Наименование сословий,Город Красноярск М.,Город Красноярск Ж.,Уезд Красноярский М.,Уезд Красноярский Ж.,Город Енисейск М.,Город Енисейск Ж.,Уезд Енисейский М.,Уезд Енисейский Ж.,Город Канск М.,Город Канск Ж.,Уезд Канский М.,Уезд Канский Ж.
I. Дворян: Потомственных,303,164,21,11,58,46,17,19,6,9,83,81
Личных,871,620,17,18,30,23,17,27,24,14,29,19
II. Духовенства православного: а) монашествующего,40,-,31,119,13,52,-,-,-,-,-,-
б) белого,61,-,62,-,18,-,64,-,3,-,47,-
Других исповеданий,2,-,-,-,2,-,-,-,-,-,-,-
Церковнослужителей и семейств духовенства,65,30,62,118,5,19,12,100,5,7,95,126
Воспитанников духовного училища,248,75,3,4,-,-,-,-,-,-,1,-
III. Городских сословий: Почетных граждан потомств.,43,50,12,13,28,16,11,13,32,19,6,7
Почетных граждан личных,183,165,8,6,8,14,5,4,-,-,4,3
Купцов,262,237,-,-,61,60,3,4,53,50,26,24
Мещан,7974,887,324,257,2410,2372,417,376,2932,2396,325,298
IV. Сельских сословий: Крестьян,5135,4004,28108,26561,1634,1956,22168,22147,496,421,47399,46155
V. Военных: Регулярных войск,1125,-,-,-,160,-,-,-,162,-,-,-
Иррегулярных,101,-,89,-,74,-,-,-,-,-,55,-
Находящихся в продолжительном отпуску,-,-,-,-,-,-,-,-,-,-,4,-
Состоящих в запасе армии,245,-,1268,-,90,-,587,-,19,-,1845,-
Отставных нижних чинов солдатских жен сыновей и дочерей,290,187,694,1401,44,215,245,425,83,184,872,1283
Нижних чинов состоящих на казенном содержании,16,-,4,-,-,-,-,-,-,-,14,-
VI. Разночинцев,2076,1915,721,702,4,-,11,11,-,-,118,70
VII. Иностран. подданных,150,30,-,-,7,-,-,-,-,-,-,-
VII. Инородцев,8,4,76,79,9,-,644,523,-,-,133,142
IX. Ссыльных всех категорий,1245,941,10219,2678,158,60,6037,152,81,47,12457,2337
Пришедших с ссыльными по воле,1910,1675,1996,2478,18,16,281,673,-,-,-,-
Итого,29353,10984,43754,34435,4831,4849,30519,24474,3896,3147,63513,50545
