Наименование сословий,Уездный город Ачинск м.,Уездный город Ачинск ж.,Уезд Ачинский м.,Уезд Ачинский ж.,Уездный город Минусинск м.,Уездный город Минусинск ж.,Уезд Минусинский м.,Уезд Минусинский ж.,Заштатный город Туруханск м.,Заштатный город Туруханск ж.,Туруханский край м.,Туруханский край ж.,Усинский пограничный округ м.,Усинский пограничный округ ж.
Потомственных,18,44,9,6,-,-,52,51,-,-,-,-,-,-
Личных,98,268,13,10,-,-,37,29,-,-,1,3,6,12
а) монашествующего,-,-,-,-,-,-,-,-,1,-,5,-,-,-
б) белого,6,-,50,-,4,-,84,-,7,-,6,-,3,-
Других исповеданий,-,-,-,-,-,-,5,-,-,-,-,-,-,-
Церковнослужителей и семейств духовенства,9,12,127,180,5,12,149,258,-,8,-,7,-,2
Воспитанников духовного училища,-,-,-,-,-,-,6,3,-,-,-,-,-,-
Почетных граждан потомств.,17,10,-,-,-,-,18,16,-,-,-,-,-,-
Почетных граждан личных,46,33,10,10,-,-,6,11,-,-,7,7,1,-
Купцов,62,67,16,14,78,81,37,38,-,-,-,-,3,3
Мещан,1812,1862,343,322,2140,2004,637,640,21,20,87,89,70,55
Крестьян,587,690,45697,46535,-,-,66531,66554,13,11,1430,1314,906,881
Регулярных войск,261,-,-,-,96,-,-,-,-,-,-,-,-,-
Иррегулярных,-,-,-,-,-,-,1302,-,29,-,30,-,27,-
Находящихся в продолжительном отпуску,1,-,24,-,-,-,-,-,-,-,-,-,-,-
Состоящих в запасе армии,77,-,2162,-,-,-,3137,-,1,-,-,-,46,-
Отставных нижних чинов солдатских жен сыновей и дочерей,120,218,1329,2177,-,-,1558,4227,-,42,-,18,7,35
Нижних чинов состоящих на казенном содержании,2,-,-,-,-,8,-,-,-,-,-,-,-,-
Разночинцев,163,117,46,62,-,-,1087,872,-,-,-,-,-,-
Иностран. подданных,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Инородцев,14,10,4012,3745,-,-,14837,14007,11,8,4022,3660,89,74
Ссыльных всех категорий,295,32,6674,1097,-,-,6669,1901,5,3,284,6,60,2
Пришедших с ссыльными по воле,39,36,1708,1698,-,-,381,511,2,3,16,8,-,-
Итого,3627,3399,62220,55856,2323,2097,96543,89118,90,95,5888,5112,1218,1064
