Наименование сословий,Енисейский округ Северной М.,Енисейский округ Северной Ж.,Енисейский округ Южной М.,Енисейский округ Южной Ж.,Красноярский округ М.,Красноярский округ Ж.,Канский округ М.,Канский округ Ж.
I. Дворян: Потомственных,8,6,10,5,-,-,-,-
Личных,2,1,-,-,-,-,2,3
II. Духовенства православного: а) монашествующего,-,-,-,-,-,-,-,-
б) белого,2,-,3,-,-,-,-,-
Других исповеданий,-,-,-,-,-,-,-,-
Церковнослужителей и семейств духовенства,-,-,-,4,-,-,-,-
Воспитанников духовного училища,-,-,-,-,-,-,-,-
III. Городских сословий: Почетных граждан потомств.,12,8,1,-,-,-,-,-
Почетных граждан личных,-,-,2,-,-,-,1,2
Купцов,5,3,6,4,-,-,-,-
Мещан,111,12,347,85,-,-,-,-
IV. Сельских сословий: Крестьян,2147,2000,1821,439,41,15,244,66
V. Военных: Регулярных войск,-,-,-,-,-,-,-,-
Иррегулярных,28,-,25,-,2,-,6,-
Находящихся в продолжительном отпуску,-,-,-,-,-,-,-,-
Состоящих в запасе армии,-,-,58,-,4,-,22,-
Отставных нижних чинов солдатских жен сыновей и дочерей,-,-,-,-,-,2,1,-
Нижних чинов состоящих на казенном содержании,-,-,-,-,-,-,-,-
VI. Разночинцев,8,4,3,-,-,-,-,-
VII. Иностран. подданных,1,-,-,-,-,-,-,-
VII. Инородцев,18,5,46,1,1,-,-,-
IX. Ссыльных всех категорий,868,8,1122,71,13,-,136,2
Пришедших с ссыльными по воле,-,-,-,-,-,-,-,-
Итого,3210,2047,3444,609,61,17,412,73
