Ачинского округа М.,Ачинского округа Ж.,Минусинского округа М.,Минусинского округа Ж.,Усинский пограничный округ М.,Усинский пограничный округ Ж.,Итого в городах М.,Итого в городах Ж.,Итого в округах М.,Итого в округах Ж.,Всего в губернии М.,Всего в губернии Ж.
2,2,4,6,—,—,385,263,206,187,591,450
—,—,—,—,1,—,1023,925,125,122,1148,1047
—,—,—,—,—,—,54,52,36,119,90,171
—,—,—,—,—,—,99,—,321,—,420,—
—,—,—,—,—,—,4,—,5,—,9,—
—,—,—,—,—,—,89,88,445,795,534,883
—,—,—,—,—,—,248,75,10,7,258,82
—,—,—,—,—,—,120,95,63,61,183,156
1,—,—,—,—,—,237,212,45,43,282,255
3,1,1,1,—,—,516,495,100,92,616,587
181,106,219,122,22,11,17289,9541,3083,2373,20372,11914
690,313,1098,479,128,77,7865,7082,218408,213536,226273,220618
—,—,—,—,—,—,1804,—,39,—,1843,—
24,—,29,—,2,—,204,—,1619,—,1823,—
—,—,—,—,—,—,1,—,28,—,29,—
—,—,—,—,8,—,432,—,9137,—,9569,—
7,5,6,8,—,3,537,846,4719,9584,5256,10430
—,—,—,—,—,—,18,—,26,—,44,—
29,12,31,20,—,—,2243,2032,2054,1753,4297,3785
—,—,—,—,—,—,157,30,3,—,160,30
204,96,162,94,17,10,42,22,24261,22426,24303,22448
254,125,238,93,59,1,1784,1083,45090,8473,46874,9556
—,—,—,—,—,—,1969,1730,4382,5368,6351,7098
1395,660,1791,827,237,102,37120,24571,314205,264939,351325,289510
