Наименование вероисповеданий,Губернский город Красноярск м.,Губернский город Красноярск ж.,Уезд Красноярский м.,Уезд Красноярский ж.,Уездный город Енисейск м.,Уездный город Енисейск ж.,Уезд Енисейский м.,Уезд Енисейский ж.,Уездный город Канск м.,Уездный город Канск ж.,Уезд Канский м.,Уезд Канский ж.
Православного,20028,9859,42190,33348,4265,4398,29313,23953,3683,2998,60265,48437
Раскольников,67,26,51,60,—,—,11,3,—,—,341,312
Единоверческого,27,36,—,—,45,6,1,—,—,—,1,—
Армяно-григорианского,37,35,6,—,2,2,3,—,—,—,5,3
Римско-католического,834,283,1037,649,23,24,317,63,38,25,758,338
Лютеранского,110,85,54,47,—,—,12,—,5,3,448,392
Протестантского,68,43,4,—,18,5,1,—,—,—,—,—
Еврейского,580,310,216,210,124,136,200,109,149,105,582,429
Караимского,—,—,—,—,—,—,68,26,—,—,—,—
Магометанского,597,305,196,121,354,278,339,68,21,16,1113,634
Идолопоклонников,5,—,—,—,—,—,—,—,—,—,—,—
Ламайского,—,—,—,—,—,—,2,—,—,—,—,—
Шаманствующих,—,—,—,—,—,—,252,252,—,—,—,—
Итого,22353,10984,43754,34435,4831,4849,30519,24474,3896,3147,63513,50545
