Наименование вероисповеданий,Уездный город Ачинск м.,Уездный город Ачинск ж.,Уезд Ачинский м.,Уезд Ачинский ж.,Уездный город Минусинск м.,Уездный город Минусинск ж.,Уезд Минусинский м.,Уезд Минусинский ж.,Заштатный город Туруханск м.,Заштатный город Туруханск ж.,Туруханский край м.,Туруханский край ж.,Усинский пограничный округ м.,Усинский пограничный округ ж.
Православного,3242,3014,60158,54177,2149,1945,88357,82113,88,95,5126,4342,586,478
Раскольников,7,6,553,435,14,5,4407,4280,-,-,4,4,573,576
Единоверческого,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Армяно-григорианского,-,-,-,-,1,-,1,-,-,-,-,-,-,-
Римско-католического,116,94,700,572,51,29,715,517,1,-,3,1,4,1
Лютеранского,1,-,13,9,100,106,2083,1325,-,-,-,-,54,9
Протестантского,1,-,1,-,-,-,-,-,-,-,-,-,-,-
Еврейского,138,175,422,349,-,-,671,597,1,-,-,-,-,-
Караимского,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Магометанского,122,110,373,314,8,12,309,286,-,-,3,5,1,-
Идолопоклонников,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ламайского,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Шаманствующих,-,-,-,-,-,-,-,-,-,-,752,760,-,-
Итого,3627,3399,62220,55856,2323,2097,96543,89118,90,95,5888,5112,1218,1064
