Ачинского округа м.,Ачинского округа ж.,Минусинского округа м.,Минусинского округа ж.,Усинский пограничный округ м.,Усинский пограничный округ ж.,Итого в городах м.,Итого в городах ж.,Итого в уездах м.,Итого в уездах ж.,Всего в губернии м.,Всего в губернии ж.
1174,579,1194,391,182,93,33455,22309,295015,250816,328470,273125
29,13,49,22,-,-,88,37,6021,5706,6109,5743
-,-,-,-,-,-,72,42,2,-,74,42
-,-,-,-,-,-,40,37,15,3,55,40
94,37,149,62,3,-,1063,455,3976,2254,5039,2709
45,19,371,150,52,9,216,194,3139,1961,3355,2155
-,-,-,-,-,-,87,50,10,-,97,50
6,3,1,-,-,-,992,726,2148,1709,3140,2435
-,-,-,-,-,-,-,-,68,26,68,26
47,9,27,2,-,-,1102,721,2805,1452,3907,2173
-,-,-,-,-,-,-,-,2,-,2,-
-,-,-,-,-,-,5,-,-,-,5,-
-,-,-,-,-,-,-,-,1004,1012,1004,1012
1395,660,1791,827,237,102,37120,24571,314205,264939,351325,289510
