Исповедание,Месяцы,Законнорожденных м. п.,Законнорожденных ж. п.,Незаконнорожденных м. п.,Незаконнорожденных ж. п.,Всего рождений без мертворожденных м. п.,Всего рождений без мертворожденных ж. п.
,Январь,97,99,16,18,113,117
,Февраль,88,100,23,13,111,113
,Март,119,110,8,17,127,127
,Апрель,100,110,12,14,112,124
,Май,110,98,10,7,120,105
,Июнь,124,118,12,19,136,137
,Июль,119,103,16,14,135,117
,Август,116,119,18,14,134,133
,Сентябрь,91,95,14,12,105,107
,Октябрь,138,132,11,9,149,141
,Ноябрь,114,113,17,16,131,129
,Декабрь,105,118,11,15,116,133
,Итого,1321,1315,168,168,1489,1483
