Исповедание,Месяцы,Законнорожденных М. П.,Законнорожденных Ж. П.,Незаконнорожденных М. П.,Незаконнорожденных Ж. П.,Всего рождений без мертворожденных М. П.,Всего рождений без мертворожденных Ж. П.
,Январь,1073,1050,149,160,1222,1210
,Февраль,1129,1021,109,111,1238,1132
,Март,1252,1217,144,137,1396,1354
,Апрель,1291,1219,112,114,1403,1333
,Май,1215,1186,127,121,1352,1307
,Июнь,1238,1190,102,118,1340,1308
,Июль,1332,1268,106,112,1438,1380
,Август,1257,1186,126,135,1383,1321
,Сентябрь,1120,1015,119,90,1239,1105
,Октябрь,1386,1404,135,121,1521,1525
,Ноябрь,1187,1170,148,133,1335,1303
,Декабрь,1101,1074,116,100,1217,1174
,Итого,14581,14000,1493,1452,16074,15452
