VOZRAST,Январь м.,Январь ж.,Февраль м.,Февраль ж.,Март м.,Март ж.,Апрель м.,Апрель ж.,Май м.,Май ж.,Июнь м.,Июнь ж.
— 29 — 30 —, —, —, 1, —, —, —, —, —, —, 1, 1, 2
— 30 — 31 —, —, —, 1, —, —, 1, 1, 2, —, 1, 3, —
— 31 — 32 —, 1, —, —, 1, —, —, 2, —, —, 3, —, 2
— 32 — 33 —, —, —, —, —, —, —, 1, 1, —, 1, 1, —
— 33 — 34 —, 1, 1, —, —, —, 1, 2, 1, —, —, 1, 1
— 34 — 35 —, —, —, 2, —, —, —, 1, —, —, —, 1, 1
— 35 — 36 —, 1, —, 1, 1, —, 1, 1, 2, 2, 1, 3, —
— 36 — 37 —, —, 1, 1, —, 2, —, 1, —, 2, —, 1, 1
— 37 — 38 —, 2, —, 2, —, 2, —, 1, —, 1, —, 2, 1
— 38 — 39 —, —, —, 2, —, 3, 3, 2, —, 2, —, 1, —
— 39 — 40 —, 1, —, —, 1, 3, 1, —, 1, —, 1, 1, —
— 40 — 41 —, 4, —, 2, 1, 1, —, 2, 1, 1, —, 3, 1
— 41 — 42 —, —, —, —, —, —, —, 5, —, —, 2, —, —
— 42 — 43 —, 1, —, —, 3, 1, —, 1, —, 1, 1, —, —
— 43 — 44 —, 1, —, 2, 1, 2, —, 2, —, 1, —, 1, —
— 44 — 45 —, 1, —, 2, —, 1, —, 1, —, 5, 1, —, 1
— 45 — 46 —, 1, —, 3, —, 3, —, —, —, 1, 3, 8, 2
— 46 — 47 —, 3, —, —, —, —, —, —, —, 2, —, —, —
— 47 — 48 —, —, 2, 1, —, —, 1, —, —, 1, 2, 1, —
— 48 — 49 —, 1, 2, —, 2, 1, —, 2, —, 2, —, —, —
— 49 — 50 —, 3, —, —, 1, 1, —, —, 1, 1, —, 2, —
— 50 — 51 —, 5, 1, 4, 2, 3, —, 2, 2, 3, 1, 4, 2
— 51 — 52 —, —, —, 2, —, —, —, —, 1, 2, —, 1, —
— 52 — 53 —, 1, 1, 2, —, —, —, 1, 1, —, —, 1, 1
— 53 — 54 —, 1, —, 1, —, —, —, —, —, 1, 2, 2, —
— 54 — 55 —, —, —, —, —, 1, 1, —, —, 1, —, —, 1
— 55 — 56 —, 3, 1, —, 1, 1, 1, 1, —, —, —, 1, 1
— 56 — 57 —, —, 2, —, —, 1, 1, 1, 1, 4, —, 1, —
— 57 — 58 —, 1, —, —, —, 3, 1, 1, —, 1, —, 2, —
— 58 — 59 —, —, 2, —, —, 3, —, 3, 1, 2, —, 3, —
— 59 — 60 —, 2, —, 1, —, 2, —, 2, 1, 1, —, 1, —
— 60 — 61 —, 4, —, 1, 2, 3, 1, 3, 1, —, 2, 3, 1
— 61 — 62 —, —, —, —, —, 4, 1, —, —, —, —, 1, 1
— 62 — 63 —, 1, —, 1, —, —, —, 2, 2, 1, —, 2, 2
— 63 — 64 —, 3, 1, 1, 1, 1, —, —, —, 1, —, —, —
— 64 — 65 —, 1, —, —, —, 2, 2, 1, 1, 3, 1, 1, —
— 65 — 66 —, —, 2, —, —, 4, 1, 4, 2, 1, 2, 2, 1
— 66 — 67 —, —, —, —, 1, 1, 1, —, —, 2, —, 1, 1
— 67 — 68 —, —, —, —, —, 2, —, 1, —, 1, —, —, —
