ВОЗРАСТ,Январь м.,Январь ж.,Февраль м.,Февраль ж.,Март м.,Март ж.,Апрель м.,Апрель ж.,Май м.,Май ж.,Июнь м.,Июнь ж.
68 — 69,1,—,1,1,—,—,—,—,2,1,1,—
69 — 70,1,1,1,—,1,—,—,2,—,1,1,—
70 — 71,3,3,—,1,3,—,2,—,5,—,—,2
71 — 72,1,—,—,—,1,—,—,—,—,—,—,—
72 — 73,—,2,1,—,—,1,—,—,—,—,1,—
73 — 74,—,—,1,—,1,—,—,—,—,—,—,—
74 — 75,—,1,—,—,—,—,—,—,1,—,—,1
75 — 76,—,1,—,1,—,—,1,—,1,1,—,—
76 — 77,1,—,1,—,—,—,—,—,—,—,—,—
77 — 78,—,—,—,—,—,1,1,—,—,—,—,—
78 — 79,—,—,—,1,—,1,1,—,—,—,—,—
79 — 80,—,1,—,—,—,1,—,1,1,—,—,1
80 — 81,—,1,—,1,—,2,2,—,—,1,—,—
Неизвестных лет,1,—,4,1,3,3,3,1,4,—,2,—
Итого,103,76,98,63,116,76,127,79,127,90,182,141
81 — 85,—,1,—,—,1,1,1,—,2,—,—,—
85 — 90,2,1,1,—,1,—,1,1,—,—,1,—
90 — 95,1,1,2,—,—,—,—,—,—,—,—,—
95 — 100,—,—,—,—,—,—,—,1,1,—,—,—
100 — 105,—,—,—,—,—,—,—,1,—,—,—,—
105 — 110,—,—,—,—,—,—,—,—,—,—,—,—
110 — 115,—,—,—,—,—,—,—,—,—,—,—,—
115 — 120,—,—,—,—,—,—,—,—,—,—,—,—
120 — 125,—,—,—,—,—,—,—,—,—,—,—,—
Итого,3,3,3,—,2,1,2,3,3,—,1,—
ВСЕГО,106,79,101,63,118,77,129,82,130,90,183,141
