Июль м.,Июль ж.,Август м.,Август ж.,Сентябрь м.,Сентябрь ж.,Октябрь м.,Октябрь ж.,Ноябрь м.,Ноябрь ж.,Декабрь м.,Декабрь ж.,В год м.,В год ж.,Всего
1,—,1,—,1,—,—,—,1,—,1,5,10,7,17
—,1,1,—,2,1,1,2,—,—,—,1,8,9,17
1,2,1,—,—,—,1,2,1,—,—,2,17,12,29
1,—,—,1,—,1,1,—,—,2,—,1,4,5,9
—,—,2,1,2,—,1,—,1,2,2,2,10,8,18
—,—,—,—,2,—,—,—,1,1,—,—,5,1,6
—,—,—,—,2,—,1,—,—,1,—,—,4,3,7
2,—,2,—,1,—,3,1,1,1,—,—,11,5,16
—,1,—,—,1,—,—,1,2,—,—,—,5,2,7
1,—,—,1,—,—,—,—,—,—,—,—,2,2,4
—,—,—,—,—,—,1,—,—,1,1,1,3,4,7
—,—,1,1,—,—,—,—,2,—,—,3,4,8,12
—,—,1,—,—,2,—,1,1,—,—,1,4,9,13
3,2,2,5,5,—,—,3,2,1,1,2,30,18,48
170,132,145,98,103,66,109,85,133,91,129,112,1542,1109,2651
1,1,—,1,3,—,—,—,—,—,2,3,10,7,17
—,1,—,—,—,—,1,—,1,—,1,—,9,3,12
—,—,—,1,—,—,—,—,—,1,—,1,3,4,7
—,—,—,—,—,—,—,—,—,—,—,—,1,1,2
—,—,—,—,—,—,—,1,—,—,—,—,—,2,2
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
1,2,—,2,3,1,1,—,1,1,3,4,23,17,40
171,134,145,100,106,67,110,85,134,92,132,116,1565,1126,2691
