Июль М,Июль Ж,Август М,Август Ж,Сентябрь М,Сентябрь Ж,Октябрь М,Октябрь Ж,Ноябрь М,Ноябрь Ж,Декабрь М,Декабрь Ж,В год М,В год Ж,Всего
1,3,2,1,2,3,3,7,4,1,8,1,36,38,74
2,7,5,3,3,5,5,4,1,4,4,5,39,58,97
1,2,-,-,1,2,2,4,5,-,2,-,22,22,44
3,-,6,2,1,2,5,1,2,2,1,4,28,32,60
2,5,1,1,3,-,3,1,2,2,2,2,25,25,50
4,2,6,-,1,4,2,2,1,-,3,3,27,27,54
3,1,3,5,3,5,1,1,7,2,4,2,48,37,85
2,4,4,2,-,-,6,3,2,3,2,4,38,37,75
3,4,3,3,2,5,7,4,5,2,4,3,36,41,77
1,1,5,5,2,3,1,5,1,1,3,3,31,36,67
6,3,3,2,1,1,2,3,1,4,4,2,39,39,78
7,5,3,9,2,1,3,2,6,7,7,5,57,62,119
4,5,3,2,3,6,-,2,4,2,1,2,26,38,64
3,2,-,3,1,3,6,3,2,5,2,2,29,35,64
3,1,5,1,2,3,2,3,2,6,5,1,42,28,70
2,1,6,1,3,2,7,3,3,1,3,8,38,28,66
8,3,11,2,7,5,4,9,2,5,7,4,66,53,119
5,1,2,3,1,-,3,3,2,2,3,2,33,27,60
7,1,2,3,2,3,2,2,2,4,2,2,35,32,67
2,3,3,3,5,5,2,3,3,1,3,-,41,33,74
4,6,3,7,3,4,5,3,4,2,6,6,47,53,100
7,5,8,8,6,5,10,4,6,6,7,10,80,68,148
4,-,3,3,3,1,3,3,3,2,2,2,35,27,62
6,1,2,1,6,2,3,3,4,1,4,2,44,37,81
1,1,2,1,3,2,2,4,6,4,6,5,39,33,72
3,3,7,3,9,2,7,3,5,-,3,6,58,38,96
6,1,8,4,5,4,6,4,6,3,4,6,71,44,115
1,3,2,1,6,1,3,5,3,2,3,7,47,36,83
3,2,2,1,8,3,1,2,1,4,5,5,47,42,89
4,2,3,3,4,2,-,-,2,-,2,5,34,25,59
6,5,8,6,4,2,7,4,6,5,9,-,86,47,133
10,6,5,2,4,5,6,7,4,8,15,5,85,72,157
1,3,-,6,3,-,2,2,1,-,4,4,28,30,58
4,5,3,3,2,1,4,4,4,-,5,1,42,35,77
2,3,6,3,3,2,4,2,2,-,7,5,41,41,82
3,1,7,3,4,5,5,4,6,4,4,7,61,47,108
9,6,6,1,8,7,4,5,10,5,7,12,81,74,155
3,1,5,4,3,4,6,5,2,1,13,4,54,36,90
3,1,4,3,3,2,3,4,3,3,3,5,47,53,100
