ВОЗРАСТ,Январь М.,Январь Ж.,Февраль М.,Февраль Ж.,Март М.,Март Ж.,Апрель М.,Апрель Ж.,Май М.,Май Ж.,Июнь М.,Июнь Ж.
До 1 месяца,100,67,64,64,90,77,82,71,87,68,231,203
От 1 до 3 месяцев,81,68,74,47,87,55,75,60,86,74,323,318
— 3 — 6 —,78,60,58,38,103,93,72,66,90,65,358,275
— 6 — 1 года,67,61,85,80,134,89,115,110,121,96,258,219
— 1 — 2 лет,76,64,87,56,72,81,74,95,91,90,113,115
— 2 — 3 —,41,44,41,35,53,32,39,53,39,51,57,40
— 3 — 4 —,30,29,24,27,37,18,25,33,23,40,30,43
— 4 — 5 —,18,18,14,19,25,19,18,14,16,26,25,20
— 5 — 6 —,6,13,11,8,15,16,16,13,18,9,13,11
— 6 — 7 —,9,4,7,9,6,9,8,11,8,7,5,12
— 7 — 8 —,4,3,3,5,5,7,8,5,13,11,5,10
— 8 — 9 —,,5,,3,4,5,3,4,1,10,4,5
— 9 — 10 —,1,1,2,5,9,10,6,4,5,6,7,6
— 10 — 11 —,3,2,3,5,2,4,1,3,4,6,4,4
— 11 — 12 —,,2,2,2,,1,6,2,7,5,2,4
— 12 — 13 —,1,4,5,5,3,1,1,5,4,4,3,3
— 13 — 14 —,,2,1,2,,1,1,3,2,3,1,3
— 14 — 15 —,,3,,2,3,3,3,1,1,2,3,
— 15 — 16 —,3,,,1,1,1,3,2,2,2,3,5
— 16 — 17 —,3,2,1,,3,2,4,,5,,4,4
— 17 — 18 —,2,5,1,3,1,3,5,2,6,2,1,1
— 18 — 19 —,6,3,3,3,1,2,5,2,3,3,4,3
— 19 — 20 —,,3,4,3,2,1,2,4,4,6,3,2
— 20 — 21 —,4,2,3,3,3,2,1,1,4,2,9,5
— 21 — 22 —,1,2,3,2,3,3,3,6,3,2,2,1
— 22 — 23 —,3,1,2,,3,2,2,6,3,3,4,3
— 23 — 24 —,3,6,1,2,2,3,3,5,2,7,7,6
— 24 — 25 —,2,3,,4,4,2,4,6,5,7,3,1
— 25 — 26 —,3,1,3,8,4,3,4,5,5,5,4,2
— 26 — 27 —,4,4,3,1,5,6,1,4,3,5,2,6
— 27 — 28 —,4,3,2,2,3,3,4,5,2,5,3,4
— 28 — 29 —,1,4,1,2,4,3,4,2,3,,4,3
