Июль М.,Июль Ж.,Август М.,Август Ж.,Сентябрь М.,Сентябрь Ж.,Октябрь М.,Октябрь Ж.,Ноябрь М.,Ноябрь Ж.,Декабрь М.,Декабрь Ж.,В год М.,В год Ж.,Всего
329,323,301,258,135,127,90,91,93,77,115,93,1717,1519,3236
395,394,306,256,154,152,110,117,101,80,129,109,1921,1730,3651
345,294,229,166,105,88,80,58,82,75,99,76,1699,1354,3053
297,296,239,201,98,119,82,88,75,77,103,89,1674,1325,3199
145,153,138,141,90,82,76,69,77,70,94,79,1133,1095,2228
58,74,44,62,41,48,44,40,43,58,54,43,554,580,1134
38,33,37,25,25,23,24,34,31,25,36,29,360,359,719
28,26,17,21,19,17,22,16,22,19,22,20,246,234,480
18,14,15,13,11,12,8,13,12,15,12,13,155,150,305
7,9,6,4,13,14,6,9,7,6,9,13,91,107,198
5,6,7,11,3,8,4,7,4,8,7,13,68,94,162
2,7,4,2,5,2,5,2,3,6,4,4,35,55,90
5,8,7,6,3,3,2,3,4,5,7,4,58,61,119
7,1,4,4,1,2,3,3,5,1,6,4,43,39,82
1,5,3,—,2,3,2,5,3,1,3,5,31,35,66
4,2,4,4,1,4,1,2,3,3,4,3,34,40,74
2,6,3,6,—,2,1,4,2,3,2,2,15,37,52
2,1,2,3,1,4,3,2,4,3,4,1,26,25,51
3,2,2,3,5,—,4,3,2,3,2,4,30,26,56
2,3,2,4,4,4,4,3,2,5,4,2,38,29,67
1,2,4,1,2,1,1,5,5,1,4,4,33,30,63
1,3,3,1,5,4,1,4,5,7,6,6,43,41,84
4,3,4,7,7,2,4,1,4,3,4,3,42,38,80
7,5,1,3,5,6,2,3,7,4,5,2,51,38,89
4,3,3,2,7,—,2,3,2,5,4,1,37,30,67
2,3,—,2,3,7,7,4,2,3,2,6,33,40,73
3,6,6,4,2,—,2,4,5,5,4,3,40,51,91
1,5,1,8,1,5,2,3,5,3,4,3,32,50,82
5,2,4,4,3,3,5,4,4,1,5,4,49,42,91
5,4,5,4,2,1,3,4,7,4,5,3,45,46,91
3,4,—,3,2,3,1,4,2,1,4,4,30,41,71
4,3,2,3,4,3,3,4,3,3,7,5,40,35,75
